customer_id,address,city,plz,region,branch,employees
Kunde_083,160 Musterstraße,München,80331,Süd,Logistics,170
Kunde_084,18 Musterstraße,Augsburg,86150,Süd,Manufacturing,744
Kunde_085,67 Musterstraße,Köln,50667,Mitte,Food & Beverage,801
Kunde_086,175 Musterstraße,Leipzig,04109,Mitte,Food & Beverage,672
Kunde_087,155 Musterstraße,Düsseldorf,40213,Mitte,Retail,395
Kunde_088,104 Musterstraße,Frankfurt am Main,60311,Mitte,Manufacturing,402
Kunde_089,176 Musterstraße,Stuttgart,70173,Süd,Logistics,486
Kunde_090,26 Musterstraße,Düsseldorf,40213,Mitte,IT Services,827
Kunde_091,13 Musterstraße,Hannover,30159,Nord,Healthcare,515
Kunde_092,36 Musterstraße,München,80331,Süd,Automotive,29
Kunde_093,144 Musterstraße,Hannover,30159,Nord,Food & Beverage,981
Kunde_094,143 Musterstraße,Nürnberg,90402,Süd,Healthcare,363
Kunde_095,191 Musterstraße,Leipzig,04109,Mitte,Food & Beverage,60
Kunde_096,63 Musterstraße,Bremen,28195,Nord,Food & Beverage,134
Kunde_097,58 Musterstraße,Köln,50667,Mitte,Food & Beverage,314
Kunde_098,15 Musterstraße,Köln,50667,Mitte,Food & Beverage,453
Kunde_099,8 Musterstraße,Hamburg,20095,Nord,Automotive,581
Kunde_100,196 Musterstraße,Kiel,24103,Nord,Food & Beverage,886
Kunde_101,99 Musterstraße,Düsseldorf,40213,Mitte,Logistics,945
Kunde_102,124 Musterstraße,Bremen,28195,Nord,Retail,679
Kunde_103,120 Musterstraße,München,80331,Süd,Logistics,796
Kunde_104,90 Musterstraße,Düsseldorf,40213,Mitte,Automotive,483
Kunde_105,23 Musterstraße,Bremen,28195,Nord,Logistics,402
